2025-07-24 15:34:23.857 INFO  [main:31] Creating /opt/appl/data/apps/apps_data/can-logger/resources/settings.json with default settings
2025-07-24 15:34:23.861 INFO  [main:39] Application Name: can-logger
2025-07-24 15:34:23.861 INFO  [main:40] Application Version: 0.6.6
2025-07-24 15:34:23.861 INFO  [main:41] SDK Version: Built with MiST 1.0.0.0-1.0
2025-07-24 15:34:23.861 INFO  [main:42] Using Settings file: /opt/appl/data/apps/apps_data/can-logger/resources/settings.json
2025-07-24 15:34:23.862 INFO  [main:43] Build date: Mar  7 2025
2025-07-24 15:34:23.862 INFO  [main:44] Build time: 10:32:20
2025-07-24 15:34:23.866 WARN  [Application:43] Cannot load status file, proceeding with default values
2025-07-24 15:34:23.895 INFO  [Application:119] Initializing...
2025-07-24 15:34:23.903 ERROR [Application:212] Cannot load configuration, file /opt/appl/data/apps/apps_data/can-logger/data/configuration.json does not exist
2025-07-24 15:34:23.903 ERROR [Application:139] Configuration is not valid, cannot initialize application modules (still waiting for new valid remote configurations)
2025-07-24 15:34:23.903 INFO  [main:57] Waiting for termination signals
2025-07-24 15:35:23.904 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:36:23.904 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:37:23.905 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:38:23.905 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:39:23.906 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:40:23.907 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:41:23.907 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:42:23.908 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:43:23.909 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:44:23.910 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:45:23.910 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:46:23.911 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:47:23.911 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:48:23.912 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:49:23.912 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:50:23.913 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:51:23.914 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:52:23.914 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:53:23.914 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:56:21.753 INFO  [main:39] Application Name: can-logger
2025-07-24 15:56:21.755 INFO  [main:40] Application Version: 0.6.6
2025-07-24 15:56:21.755 INFO  [main:41] SDK Version: Built with MiST 1.0.0.0-1.0
2025-07-24 15:56:21.755 INFO  [main:42] Using Settings file: /opt/appl/data/apps/apps_data/can-logger/resources/settings.json
2025-07-24 15:56:21.755 INFO  [main:43] Build date: Mar  7 2025
2025-07-24 15:56:21.755 INFO  [main:44] Build time: 10:32:20
2025-07-24 15:56:21.810 INFO  [Application:119] Initializing...
2025-07-24 15:56:21.819 ERROR [Application:212] Cannot load configuration, file /opt/appl/data/apps/apps_data/can-logger/data/configuration.json does not exist
2025-07-24 15:56:21.819 ERROR [Application:139] Configuration is not valid, cannot initialize application modules (still waiting for new valid remote configurations)
2025-07-24 15:56:21.819 INFO  [main:57] Waiting for termination signals
2025-07-24 15:57:21.819 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:58:21.820 INFO  [main:65] wakeup, mExit: 0
2025-07-24 15:59:21.820 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:00:21.821 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:01:21.821 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:02:21.822 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:03:21.822 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:04:21.822 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:05:21.823 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:06:21.823 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:07:21.824 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:08:21.824 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:09:21.825 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:10:21.825 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:11:21.825 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:12:21.826 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:13:21.826 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:14:21.827 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:15:21.827 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:16:21.828 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:17:21.828 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:18:21.829 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:19:21.829 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:20:21.830 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:21:21.830 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:22:21.830 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:23:21.831 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:24:21.831 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:25:21.832 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:26:21.832 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:27:21.833 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:28:21.833 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:29:21.834 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:30:21.834 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:31:21.834 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:32:21.835 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:33:21.835 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:34:21.836 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:35:21.836 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:36:21.837 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:37:21.838 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:38:21.838 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:39:21.839 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:40:21.839 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:41:21.840 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:42:21.840 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:43:21.841 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:44:21.841 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:45:21.841 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:46:21.842 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:47:21.842 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:48:21.843 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:49:21.843 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:50:21.843 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:51:21.844 INFO  [main:65] wakeup, mExit: 0
2025-07-24 16:52:21.844 INFO  [main:65] wakeup, mExit: 0
